permit_identifier,program_report_form_set_id,program_report_form_id,sewer_overflow_bypass_event_key,sewer_overflow_bypass_event_id_ext,sewer_overflow_bypass_description_text,sewer_overflow_bypass_reporting_requirement_code,sewer_overflow_reporting_requirement_desc,wet_weather_occurance_indicator,sewer_overflow_structure_type_code,sewer_overflow_structure_type_desc,sewer_overflow_structure_type_code_other_text,collection_system_identifier,permitted_feature_identifier,latitude,longitude,sewer_overflow_bypass_duration_hours,sewer_overflow_bypass_start_datetime,sewer_overflow_bypass_end_datetime,discharge_quantification_method_code,discharge_quantification_method_desc,sewer_overflow_bypass_discharge_volume_gallons,sewer_overflow_bypass_discharge_rate_gph,anticipated_bypass_text,anticipated_bypass_expect_limit_violation,anticipated_bypass_expect_limit_violation_text,payload_id,transaction_type,current_report_form_flag,replaced_date,replacing_payload_id,permit_identifier_coll,collection_system_identifier_coll,collection_system_name,collection_system_owner_type_code,collection_system_owner_type_desc,collection_system_population,percent_collection_system_css,payload_id_coll,received_date,transaction_type_coll,current_report_flag,replaced_date_coll,replacing_payload_id_coll,replacing_transaction_type
AK0022551,14,1,2885,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.206725,-149.774915,11.83,2024-01-18 21:00:00,2024-01-19 08:50:00,BPJ,Best Professional Judgement,59.2,,,,,278577038,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,14,1,2885,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.206725,-149.774915,11.83,2024-01-18 21:00:00,2024-01-19 08:50:00,BPJ,Best Professional Judgement,59.2,,,,,278577038,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,15,1,2892,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.174751,-149.882311,0.53,2024-02-09 15:24:00,2024-02-09 15:56:00,BPJ,Best Professional Judgement,3.0,,,,,278577046,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,15,1,2892,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.174751,-149.882311,0.53,2024-02-09 15:24:00,2024-02-09 15:56:00,BPJ,Best Professional Judgement,3.0,,,,,278577046,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,16,1,3044,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.224722,-149.803206,0.92,2024-04-15 14:10:00,2024-04-15 15:05:00,BPJ,Best Professional Judgement,100.0,,,,,278577116,N,N,2025-03-06,278577117.0,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,16,1,3044,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.224722,-149.803206,0.92,2024-04-15 14:10:00,2024-04-15 15:05:00,BPJ,Best Professional Judgement,100.0,,,,,278577116,N,N,2025-03-06,278577117.0,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,16,2,3045,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.224722,-149.803206,0.92,2024-04-15 14:10:00,2024-04-15 15:05:00,BPJ,Best Professional Judgement,100.0,,,,,278577117,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,16,2,3045,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.224722,-149.803206,0.92,2024-04-15 14:10:00,2024-04-15 15:05:00,BPJ,Best Professional Judgement,100.0,,,,,278577117,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,16,2,3046,2,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.153075,-149.927192,1.0,2024-04-15 16:30:00,2024-04-15 17:30:00,BPJ,Best Professional Judgement,90.0,,,,,278577117,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,16,2,3046,2,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.153075,-149.927192,1.0,2024-04-15 16:30:00,2024-04-15 17:30:00,BPJ,Best Professional Judgement,90.0,,,,,278577117,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,17,1,3064,1,Fog and Rags,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.163992,-149.937185,4.63,2024-04-26 16:30:00,2024-04-26 21:08:00,BPJ,Best Professional Judgement,30.0,,,,,278577134,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,17,1,3064,1,Fog and Rags,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.163992,-149.937185,4.63,2024-04-26 16:30:00,2024-04-26 21:08:00,BPJ,Best Professional Judgement,30.0,,,,,278577134,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,18,1,3062,1,FOG,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.198164,-149.835674,1.92,2024-05-02 11:10:00,2024-05-02 13:05:00,BPJ,Best Professional Judgement,100.0,,,,,278577140,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,18,1,3062,1,FOG,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.198164,-149.835674,1.92,2024-05-02 11:10:00,2024-05-02 13:05:00,BPJ,Best Professional Judgement,100.0,,,,,278577140,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,19,1,3078,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.157206,-149.860599,2.0,2024-05-18 13:30:00,2024-05-18 15:30:00,BPJ,Best Professional Judgement,600.0,,,,,278577149,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,19,1,3078,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.157206,-149.860599,2.0,2024-05-18 13:30:00,2024-05-18 15:30:00,BPJ,Best Professional Judgement,600.0,,,,,278577149,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,2,1,2724,1,FOG and rocks,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.145711,-149.939586,1.43,2023-06-06 17:45:00,2023-06-06 19:11:00,BPJ,Best Professional Judgement,100.0,,,,,278576926,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,2,1,2724,1,FOG and rocks,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.145711,-149.939586,1.43,2023-06-06 17:45:00,2023-06-06 19:11:00,BPJ,Best Professional Judgement,100.0,,,,,278576926,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,20,1,3212,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.153953,-149.928924,4.0,2024-05-21 09:15:00,2024-05-21 13:15:00,BPJ,Best Professional Judgement,40.0,,,,,278577154,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,20,1,3212,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.153953,-149.928924,4.0,2024-05-21 09:15:00,2024-05-21 13:15:00,BPJ,Best Professional Judgement,40.0,,,,,278577154,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,21,1,2540,1,Cement type material in line causing plug and SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.1538,-149.926615,1.07,2024-06-04 19:35:00,2024-06-04 20:39:00,BPJ,Best Professional Judgement,600.0,,,,,278577173,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,21,1,2540,1,Cement type material in line causing plug and SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.1538,-149.926615,1.07,2024-06-04 19:35:00,2024-06-04 20:39:00,BPJ,Best Professional Judgement,600.0,,,,,278577173,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,22,1,2967,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.178315,-149.917883,0.75,2024-07-01 10:30:00,2024-07-01 11:15:00,BPJ,Best Professional Judgement,5.0,,,,,278577209,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,22,1,2967,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.178315,-149.917883,0.75,2024-07-01 10:30:00,2024-07-01 11:15:00,BPJ,Best Professional Judgement,5.0,,,,,278577209,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,23,1,2971,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.218579,-149.740247,1.08,2024-07-05 16:15:00,2024-07-05 17:20:00,BPJ,Best Professional Judgement,3250.0,,,,,278577213,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,23,1,2971,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.218579,-149.740247,1.08,2024-07-05 16:15:00,2024-07-05 17:20:00,BPJ,Best Professional Judgement,3250.0,,,,,278577213,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,24,1,2655,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.186491,-149.741089,2.08,2024-09-29 10:40:00,2024-09-29 12:45:00,BPJ,Best Professional Judgement,50.0,,,,,278577269,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,24,1,2655,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.186491,-149.741089,2.08,2024-09-29 10:40:00,2024-09-29 12:45:00,BPJ,Best Professional Judgement,50.0,,,,,278577269,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,25,1,2670,1,FOG and non-flushable wipes caused a plug,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.15754,-149.93718,0.28,2024-10-24 11:30:00,2024-10-24 11:47:00,BPJ,Best Professional Judgement,10.0,,,,,278577285,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,25,1,2670,1,FOG and non-flushable wipes caused a plug,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.15754,-149.93718,0.28,2024-10-24 11:30:00,2024-10-24 11:47:00,BPJ,Best Professional Judgement,10.0,,,,,278577285,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,26,1,2674,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.18558,-149.928775,1.0,2024-10-31 16:00:00,2024-10-31 17:00:00,BPJ,Best Professional Judgement,100.0,,,,,278577289,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,26,1,2674,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.18558,-149.928775,1.0,2024-10-31 16:00:00,2024-10-31 17:00:00,BPJ,Best Professional Judgement,100.0,,,,,278577289,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,27,1,2223,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.217389,-149.869842,4.5,2024-12-19 14:45:00,2024-12-19 19:15:00,BPJ,Best Professional Judgement,2700.0,,,,,273211147,N,N,2025-03-06,278577363.0,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,27,1,2223,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.217389,-149.869842,4.5,2024-12-19 14:45:00,2024-12-19 19:15:00,BPJ,Best Professional Judgement,2700.0,,,,,273211147,N,N,2025-03-06,278577363.0,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,27,1,3170,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.217389,-149.869842,4.5,2024-12-19 16:45:00,2024-12-19 21:15:00,BPJ,Best Professional Judgement,2700.0,,,,,278577363,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,27,1,3170,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.217389,-149.869842,4.5,2024-12-19 16:45:00,2024-12-19 21:15:00,BPJ,Best Professional Judgement,2700.0,,,,,278577363,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,28,1,3660,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.222041,-149.805756,3.75,2025-05-11 13:00:00,2025-05-11 16:45:00,BPJ,Best Professional Judgement,1125.0,,,,,283419118,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,28,1,3660,1,sso,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.222041,-149.805756,3.75,2025-05-11 13:00:00,2025-05-11 16:45:00,BPJ,Best Professional Judgement,1125.0,,,,,283419118,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,29,1,3980,1,"While excavating a contractor damaged a 8"" AC sewer main causing a backup into a basement",1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.190798,-149.90487,25.5,2025-07-30 15:30:00,2025-07-31 17:00:00,BPJ,Best Professional Judgement,10.0,,,,,288861378,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,29,1,3980,1,"While excavating a contractor damaged a 8"" AC sewer main causing a backup into a basement",1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.190798,-149.90487,25.5,2025-07-30 15:30:00,2025-07-31 17:00:00,BPJ,Best Professional Judgement,10.0,,,,,288861378,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,3,1,2746,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.190993,-149.907338,0.75,2023-07-26 13:30:00,2023-07-26 14:15:00,BPJ,Best Professional Judgement,25.0,,,,,278576949,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,3,1,2746,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.190993,-149.907338,0.75,2023-07-26 13:30:00,2023-07-26 14:15:00,BPJ,Best Professional Judgement,25.0,,,,,278576949,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,4,1,2754,1,Fog and Rags,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.183244,-149.932699,0.67,2023-08-04 15:40:00,2023-08-04 16:20:00,BPJ,Best Professional Judgement,40.0,,,,,278576957,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,4,1,2754,1,Fog and Rags,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.183244,-149.932699,0.67,2023-08-04 15:40:00,2023-08-04 16:20:00,BPJ,Best Professional Judgement,40.0,,,,,278576957,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,5,1,2776,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.184778,-149.844535,6.42,2023-09-09 14:50:00,2023-09-09 21:15:00,OTH,Other,1000.0,,,,,278576969,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,5,1,2776,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,BAS,Basement Backup,,001,,61.184778,-149.844535,6.42,2023-09-09 14:50:00,2023-09-09 21:15:00,OTH,Other,1000.0,,,,,278576969,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,6,1,2778,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,PUM,Pumping Station,,001,,61.210157,-149.922598,0.5,2023-09-14 08:10:00,2023-09-14 08:40:00,BPJ,Best Professional Judgement,10.0,,,,,278576971,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,6,1,2778,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,PUM,Pumping Station,,001,,61.210157,-149.922598,0.5,2023-09-14 08:10:00,2023-09-14 08:40:00,BPJ,Best Professional Judgement,10.0,,,,,278576971,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
AK0022551,7,1,2793,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.119973,-149.889473,0.33,2023-09-21 14:45:00,2023-09-21 15:05:00,BPJ,Best Professional Judgement,6.7,,,,,278576978,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,278352977.0,2025-03-04 17:33:32,R,Y,,,
AK0022551,7,1,2793,1,SSO,1,5-day reporting for noncompliance that may endanger health or the environment,N,MAN,Manhole,,001,,61.119973,-149.889473,0.33,2023-09-21 14:45:00,2023-09-21 15:05:00,BPJ,Best Professional Judgement,6.7,,,,,278576978,N,Y,,,AK0022551,001,Anchorage Sanitary Sewer System,CTG,Municipality,291826.0,0.0,275896429.0,2025-01-31 08:38:48,R,N,2025-03-04,278352977.0,R
